,respondent,accuracy,macro_precision,weighted_precision,macro_recall,weighted_recall,macro_f1,weighted_f1,cohen_kappa
0,Human_rad1(CLP),0.7714285714285715,0.8261648745519713,0.7899385560675883,0.8047619047619049,0.7714285714285715,0.810294968189705,0.7750557712963728,0.6247906197654942
1,Human_rad2(KGY),0.8285714285714286,0.8767676767676768,0.8584415584415584,0.8066666666666666,0.8285714285714286,0.82605710719301,0.8316675211198539,0.7157360406091371
2,Human_trainee1(CHY),0.5857142857142857,0.700280112044818,0.6176470588235294,0.52,0.5857142857142857,0.5555555555555556,0.5680272108843537,0.2536764705882354
3,Human_trainee2(SUD),0.7571428571428571,0.8154761904761904,0.7767857142857143,0.8190476190476191,0.7571428571428571,0.8106377053745475,0.7585630743525481,0.6059602649006622
4,Human_ortho(NYH),0.5571428571428572,0.3698257080610022,0.4875116713352007,0.43238095238095237,0.5571428571428572,0.39675340176653134,0.5176482624560924,0.22222222222222232
5,Non_RAG_LLM,0.5571428571428572,0.4274193548387097,0.5339861751152073,0.3942857142857143,0.5571428571428572,0.3480162449234614,0.47007631543714024,0.14229249011857703
6,Naive_RAG_cLLM,0.7857142857142857,0.8317230273752013,0.8150448585231193,0.7076190476190476,0.7857142857142857,0.7435041630778065,0.7790851482711947,0.6223021582733813
7,Optimized_cLLM_Run1,0.8857142857142857,0.8687258687258687,0.9051296194153338,0.900952380952381,0.8857142857142857,0.8712121212121212,0.8858225108225107,0.8127090301003345
8,Optimized_cLLM_Run2,0.9,0.8870408870408871,0.912978912978913,0.9142857142857143,0.9,0.89170692431562,0.9000172532781228,0.8352941176470589
9,Optimized_cLLM_Run3,0.9285714285714286,0.9166666666666666,0.9345238095238094,0.940952380952381,0.9285714285714286,0.9249461955485329,0.9290053668237667,0.8821548821548821
10,Optimized_cLLM_ReOrder_Run1,0.8714285714285714,0.8861111111111111,0.8886904761904763,0.8876190476190476,0.8714285714285714,0.8754334038054968,0.8688734521292661,0.7849829351535836
11,Optimized_cLLM_ReOrder_Run2,0.9,0.9005847953216374,0.9104010025062657,0.9142857142857143,0.9,0.9006964623402979,0.8993852418509952,0.8338983050847457
12,Optimized_cLLM_ReOrder_Run3,0.9428571428571428,0.9259259259259259,0.9484126984126984,0.9504761904761905,0.9428571428571428,0.9343358669100352,0.9430898738660201,0.9057239057239057
