,ai,CHY_noai,CHY_withai,CLP_noai,CLP_withai,Gita_noai,Gita_withai,Sud_noai,Sud_withai,YH_noai,YH_withai
ai,,5.947612226009369e-05,0.07681274414062497,0.0931396484375,0.7265624999999998,0.3833103179931642,0.4544982910156251,0.041389465332031194,0.4544982910156251,8.430331945419315e-06,0.2668457031250001
CHY_noai,5.947612226009369e-05,,0.001489639282226562,0.024306510109454407,3.395322710275652e-05,0.0021024015732109547,0.0008779102936387071,0.019157290458679182,0.00031074881553649913,0.7358788008568807,0.0021024015732109547
CHY_withai,0.07681274414062497,0.001489639282226562,,0.8555355519056317,0.06356811523437499,0.5715881884098054,0.40487289428710893,0.6636238098144526,0.35928344726562483,0.004551384132355452,0.5412561893463134
CLP_noai,0.0931396484375,0.024306510109454407,0.8555355519056317,,0.041389465332031194,0.35928344726562483,0.23788452148437506,0.8318119049072266,0.23788452148437506,0.009041185490787036,0.35928344726562483
CLP_withai,0.7265624999999998,3.395322710275652e-05,0.06356811523437499,0.041389465332031194,,0.26317596435546864,0.2265624999999999,0.0192108154296875,0.2668457031250001,4.172325134277347e-07,0.10937500000000003
Gita_noai,0.3833103179931642,0.0021024015732109547,0.5715881884098054,0.35928344726562483,0.26317596435546864,,0.8238029479980469,0.28627872467041005,0.8145294189453123,8.797645568847662e-05,0.8145294189453125
Gita_withai,0.4544982910156251,0.0008779102936387071,0.40487289428710893,0.23788452148437506,0.2265624999999999,0.8238029479980469,,0.16706848144531236,0.7744140625,0.00019219517707824702,0.8036193847656247
Sud_noai,0.041389465332031194,0.019157290458679182,0.6636238098144526,0.8318119049072266,0.0192108154296875,0.28627872467041005,0.16706848144531236,,0.09228515625000003,0.010673840530216687,0.23788452148437506
Sud_withai,0.4544982910156251,0.00031074881553649913,0.35928344726562483,0.23788452148437506,0.2668457031250001,0.8145294189453123,0.7744140625,0.09228515625000003,,0.00019219517707824702,0.8036193847656247
YH_noai,8.430331945419315e-06,0.7358788008568807,0.004551384132355452,0.009041185490787036,4.172325134277347e-07,8.797645568847662e-05,0.00019219517707824702,0.010673840530216687,0.00019219517707824702,,1.0967254638671875e-05
YH_withai,0.2668457031250001,0.0021024015732109547,0.5412561893463134,0.35928344726562483,0.10937500000000003,0.8145294189453125,0.8036193847656247,0.23788452148437506,0.8036193847656247,1.0967254638671875e-05,
